ID,Location,Vessel Type,Flag,Gross Tonnage,Length (m),Port,Injury Type,Fatalities,Description,Weather,Damage,Date
d9096ad0-5d16-ee11-9cbe-002248c87217,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,140000.0,330.0,,Bone fractures,0,A cruise ship passenger fell out of bed resulting in a fractured clavicle.,Clear,No damage,2023-06-01
02d9d69b-2f22-ee11-9967-002248c8714f,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,110000.0,290.0,CANADA,Bone fractures,0,Cruise ship's passenger tripped and sustained a fractured shoulder.,Clear,No damage,2023-07-01
f5131f0e-0127-ee11-9965-002248c87a51,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,8000.0,89.0,UNITED KINGDOM,"Dislocations, sprains and strains",0,A ro-pax crew member sustained a torn rotator cuff when moving a heavy drum.,Unknown,No damage,2023-07-01
3f33abdb-bd6d-ee11-9ae7-002248c8714f,Internal waters -> Port area,Cargo ship,CYPRUS,9900.0,130.0,UNITED KINGDOM,Bone fractures,0,Container ship's crew member sustained an open fractured finger injury while working.,Unknown,No damage,2023-10-01
f4c50e53-f9c0-ee11-9079-002248c8714f,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,58000.0,230.0,,Bone fractures,0,A cruise ship passenger fell and sustained a fractured shoulder,Clear,No damage,2024-01-01
31e4369c-f47f-ef11-ac21-000d3a870c32,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,0.99,9.9,,Unknown or unspecified,0,Sailing vessel capsized and beached resulting injuries to a crew members leg.,Unknown,Minor damage (less than material damage),2024-09-01
44d04291-9bb6-ed11-b597-6045bd0b12c1,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,110000.0,290.0,,Bone fractures,0,Passenger ship's guest tripped on a step which resulted in a fracture to their arm.,Overcast,No damage,2023-02-01
6652cc87-68e3-ed11-8846-002248c878ca,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,41.0,20.0,,Bone fractures,0,"Sailing vessel's passenger fell onto another passenger, breaking their foot.",Rain,No damage,2023-04-01
300d09e5-f7ef-ed11-8848-002248c8714f,Internal waters -> Port area,Recreational craft,UNITED KINGDOM,0.0,0.0,UNITED KINGDOM,Concussions and internal injuries (including crush injuries not mentioned above),0,A single handed sailing vessel crew member suffered a serious head injury during a race.,Unknown,No damage,2023-05-01
197f2610-9cf0-ed11-8848-002248c8796d,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,110000.0,290.0,CANADA,Bone fractures,0,Cruise ship's passenger tripped and sustained a shoulder injury,Overcast,No damage,2023-05-01
a530b8ff-c6fe-ed11-8f6c-002248c8714f,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,9.9,8.8,,Multiple injuries,1,Sailing yacht crewmember presumed deceased after falling overboard during a race.,Unknown,No damage,2023-05-01
1743de17-eb3c-ee11-bdf4-002248c87a3c,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,180000.0,340.0,,Bone fractures,0,A cruise ship crewmember twisted their foot resulting in a fracture.,Overcast,No damage,2023-08-01
0449d5cd-b854-ef11-bfe3-002248c7bf34,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,110000.0,290.0,,Bone fractures,0,Cruise ships passenger tripped resulting in closed fracture to the foot,Overcast,No damage,2024-08-01
9b367ea1-5c6b-ef11-a670-6045bd0e516e,Internal waters -> Port area,Recreational craft,UNITED KINGDOM,4.9,5.7,UNITED KINGDOM,Wounds and superficial injuries,0,Recreational craft struck swimmer resulting in injuries to the head and shoulders.,Overcast,No damage,2024-08-01
91f35e8d-5bb7-ed11-b597-0022481b5e4e,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,140000.0,330.0,,"Dislocations, sprains and strains",0,Passenger ship's crew member was descending the stairs when they sustained a knee injury.,Clear,No damage,2023-02-01
32d107e8-38e3-ed11-8846-002248c87a1d,Coastal waters <= 12 nm,Service ship,NETHERLANDS,24000.0,180.0,,Multiple injuries,0,Hopper dredger's crew member has fallen which resulted in further medical assistance,Clear,No damage,2023-04-01
9e7dc555-5a56-ef11-bfe3-6045bd0b320a,Inland waters -> River,Passenger ship,UNITED KINGDOM,70.0,20.0,,Wounds and superficial injuries,0,Passenger vessels crew member caught their finger between line and bollard.,Clear,No damage,2024-08-01
